"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 04 14:58:03 GMT 2024","Wed Sep 04 14:58:03 GMT 2024","248","test_api","PUT","TestApi","","","test_updating_resource_by_id_-1",""
"passed","Wed Sep 04 14:58:02 GMT 2024","Wed Sep 04 14:58:02 GMT 2024","139","test_api","GET","TestApi","","","test_posts_keys",""
"passed","Wed Sep 04 14:58:05 GMT 2024","Wed Sep 04 14:58:05 GMT 2024","251","test_api","DELETE","TestApi","","","test_delete_resource_by_id_-1_and_check_it",""
"skipped","Wed Sep 04 14:58:05 GMT 2024","Wed Sep 04 14:58:05 GMT 2024","290","test_api","DELETE","TestApi","","","test_delete_resource_by_id_99_and_check_it",""
"passed","Wed Sep 04 14:58:15 GMT 2024","Wed Sep 04 14:58:20 GMT 2024","5474","test_ui","test_ui_page","TestDynamicPage","","","test_dynamic_page_example_2",""
"failed","Wed Sep 04 14:58:03 GMT 2024","Wed Sep 04 14:58:03 GMT 2024","248","test_api","PUT","TestApi","","","test_updating_resource_by_id_99",""
"passed","Wed Sep 04 14:58:04 GMT 2024","Wed Sep 04 14:58:05 GMT 2024","367","test_api","DELETE","TestApi","","","test_delete_resource_by_id_1000_and_check_it",""
"passed","Wed Sep 04 14:58:02 GMT 2024","Wed Sep 04 14:58:02 GMT 2024","41","test_api","GET","TestApi","","","test_posts_by_id",""
"failed","Wed Sep 04 14:58:03 GMT 2024","Wed Sep 04 14:58:03 GMT 2024","239","test_api","PUT","TestApi","","","test_updating_resource_by_id_1000",""
"passed","Wed Sep 04 14:58:02 GMT 2024","Wed Sep 04 14:58:02 GMT 2024","127","test_api","PUT","TestApi","","","test_updating_resource_by_id_1",""
"passed","Wed Sep 04 14:58:02 GMT 2024","Wed Sep 04 14:58:02 GMT 2024","137","test_api","POST","TestApi","","","test_post_creating_resource",""
"skipped","Wed Sep 04 14:58:04 GMT 2024","Wed Sep 04 14:58:04 GMT 2024","333","test_api","DELETE","TestApi","","","test_delete_resource_by_id_100_and_check_it",""
"skipped","Wed Sep 04 14:58:04 GMT 2024","Wed Sep 04 14:58:04 GMT 2024","176","test_api","DELETE","TestApi","","","test_delete_resource_by_id_10_and_check_it",""
"passed","Wed Sep 04 14:58:09 GMT 2024","Wed Sep 04 14:58:15 GMT 2024","6198","test_ui","test_ui_page","TestDynamicPage","","","test_dynamic_page_example_1",""
"skipped","Wed Sep 04 14:58:03 GMT 2024","Wed Sep 04 14:58:04 GMT 2024","333","test_api","DELETE","TestApi","","","test_delete_resource_by_id_1_and_check_it",""
"passed","Wed Sep 04 14:58:02 GMT 2024","Wed Sep 04 14:58:03 GMT 2024","280","test_api","PUT","TestApi","","","test_updating_resource_by_id_100",""
"passed","Wed Sep 04 14:58:06 GMT 2024","Wed Sep 04 14:58:08 GMT 2024","1578","test_ui","test_ui_page","TestLoginPage","","","test_positive_login",""
"passed","Wed Sep 04 14:58:08 GMT 2024","Wed Sep 04 14:58:08 GMT 2024","355","test_ui","test_ui_page","TestLoginPage","","","test_negative_login",""
"passed","Wed Sep 04 14:58:02 GMT 2024","Wed Sep 04 14:58:02 GMT 2024","250","test_api","PUT","TestApi","","","test_updating_resource_by_id_10",""
